person id,score
1122b7d5_ed317db7,-2
b0177400_be9028c7,-2
77ac4e2a_77109d8c,-1
49ca4e7d_2eb499f,2
9e4a7320_9ebed277,-2
52936684_6bd2c2f3,3
bb891fa8_b2f18316,2
676be448_ab12f528,2
fa71973b_dfeba98c,2
3166f635_244cda27,2
a043640d_d3e5ce20,-2
7fa6c1d3_4ef6525f,3
9e858e0f_c50fe1cb,2
d1b5f6f0_4731e34e,-2
3af85c6e_f4748112,1
fc9f1cf6_5bb90d16,1
634c20b3_6d1a30df,4
a0ba99cd_cbb1d5a,-3
d8c7f894_30f97f24,-2
6463f790_f24d25a3,-2
965a49fe_fa4b2d5,2
8390f47d_1ecbe6e,-2
33339867_fa9c7bae,-2
5ab6fb0e_55091c4d,2
354f95a6_f3a3fcda,3
3808972d_6dccb11d,-2
ef0a6174_164d6764,-2
4c427af6_e3aee3b5,-2
139a1143_2f017e61,-2
2cf3efc3_b2f20d9a,3
40cf7186_6057d385,-2
36acd729_414bd216,2
df4eaf84_4cb50730,-2
21f78aa9_5444f033,-2
62cc9588_ab52061,-2
f7620647_971a30a2,-2
3650cfd3_72e2ca22,2
3ee3c9f_137be1c2,-2
e7ca5811_d728f7cb,-2
f19d31c2_75124201,-2
cff6a08c_b0303c7f,-2
9c9a0ed5_c1e8bd39,2
81007e87_f944e95b,-1
d2c95676_56a7db59,3
a9bb3ea6_5ec8e5fd,2
77e4333b_485ca1e6,-2
97430b43_24687632,3
bc579306_b22e3f6c,2
831585d8_53e1e7e6,-2
52907b87_aa3e7910,-3
4a2bd5e2_8deb71c8,-1
2d1f1abb_585a62f7,-2
4a7b591f_2f776708,-2
7a5bc505_7e202f96,-1
e0dfe7b5_9ded0773,-2
23e80e1c_7f778519,1
acb9091e_595c471e,3
690d3a0c_9545304c,-2
7d6d9e0e_f688e884,-2
5b982cc6_fc44c1b6,-2
95db6fb2_c9053c30,2
8302c7c4_a2e0634d,-2
e58b5301_2aee0f9a,-2
a5475be3_7e1ec43,2
9ee882ec_2959c232,-2
eb91253d_d131afb4,-1
91e51c56_c3397a75,-2
db9cd23e_4ae1fb4c,-2
5782501d_d52792d1,3
3123291a_ae66cbb5,2
24ca4fa8_f7eb271e,-1
4e024b86_5c224973,-2
e96fc90f_6ba77dcd,-3
e04888c2_c9d23be5,-3
db68e009_8f09b003,-1
49803461_6af7325f,-2
9a052fea_4dd58d63,1
793098c2_41f743a9,-3
6f60ee1e_ebfda835,-3
a5c566b9_8534cac6,-2
6b33b3f0_80fae05e,-2
144fb097_a7599f68,-3
f47e7b0c_bdab29e7,-2
6964fbbf_54f7d03e,-2
43870b2b_db08728f,3
7906d541_f32b96ea,-2
61f0a09f_8a660426,-2
a0e2ead6_f2115ec2,-2
afecc06_443459c0,-3
a5f5f2a1_2f2f4299,1
a562d5f5_714daa7a,2
30a1be95_d63bccfa,-2
c8879450_b779e203,-2
8bfea6e5_fc9819c1,-2
9ab4c161_ec815956,-2
9244efed_2167c26d,-1
71c7042_c87fa1d5,-3
18fd9814_f4024d2a,2
5f2732b5_67abbefa,-2
aeb57a09_5fa1811e,3
2e2c0f72_7ce29cd5,2
ab830547_52cdb48f,-2
b0b3e0bf_81fa6638,1
ec7d2a11_2210b3da,-2
7d408b9_4eb8b090,1
fa0660a4_8c3ff9c7,-2
a7d0895f_2948ad06,2
3cd8c7ca_4aefc41b,-2
2229f58e_72baec5c,-2
7222c89f_1b0bc0c5,-2
17fd46c1_b7c358f9,3
7dc224df_7bc403cc,-2
fd5d2f3d_a856eb33,-4
4d8d442f_8333b8b9,-3
2296ee1a_62809cae,-2
f3102e9_7b098367,-3
c7fa697_bc9cb896,2
f42ab68d_5ef0dac4,-2
67aa281f_62366ffa,-1
e2fceebb_da0f4d9e,3
7f76dc34_13c12f2a,2
ba83348_f625882d,-1
416d2a6c_a7bb1391,-2
8c76ca91_ef390522,-3
48da89f6_55c7495,-2
87425766_57c7c8af,-2
9eab6682_c53843dc,-2
28858cce_80969575,2
6e5365e_beed41b0,2
74a72e94_5809f147,2
912d9713_99514c70,-2
4104c504_b2a0fab4,-2
3f9b098f_ea708d04,-2
864387cb_ebe19acc,-2
f1b63abd_831ce6f5,-2
9bb080d0_5473c0c0,-1
b82e7c5a_2948d20e,-1
a1976632_34f46bac,3
b2ff8f9b_e0850acd,-1
d2cfb9b5_6711a911,-1
d193368b_da4959ed,4
37cb61b3_27e17df3,2
d0a0e12d_c4d7a116,3
45fd6f57_3313799a,-2
3a7a3be9_f0463756,-2
f4732ea6_137cf519,3
b9891716_2f2c30b3,-2
d80e3379_bb910b49,-2
e4ba4002_43e3eab0,-2
bdd7d5b6_1ae73fbe,1
5fa54145_ca4f5564,-2
1e65f3b4_a2653430,1
a9e78d07_e4cb2fdf,-2
6a38d824_4d1c749e,2
de5191b2_97d7a56f,2
fc414ced_3e4a9a46,-2
7a9c5f05_f7372cda,2
fde25e_d561649c,-2
11933055_3a9ecfa,-2
8dfb3152_8e748c7,-2
9357b924_976779ff,2
31e0339e_2be8185c,-2
d3346d40_68ff0899,-3
258f6353_5e4daa9d,2
3b49f9d7_f443bc2c,2
841f6939_ad8b138f,-2
52cf1d4b_b4facac0,2
15639d61_a55e6a83,2
da9201ce_fdf9d899,-2
b4daa819_51c5cc37,-3
6f1f291d_811830ed,-2
559e94e5_8fdd765d,-2
80e13feb_4f3e4d0e,4
8bacb65b_5d9e4d86,2
962df73f_abac99cd,-3
aa0cc23c_e987f898,-2
9778abc2_75264665,-2
897097bc_948625b8,2
d95ef670_2948deeb,-2
8d2f4023_73f1167e,-2
3df4e1fe_4f8e50ec,2
d23269d4_a40475fd,-1
883b7265_962259a,2
293aec81_b3d0152a,3
a64c47ea_dbafbd1d,-4
f1891b54_3cc82f80,2
edfbcfc7_8f6b302b,-2
b72c1e8f_cdca1939,-3
af84ec0e_56e6cabb,3
1c3de73e_37c91463,-2
473c54a2_2136cfba,-2
f9004dbe_d3486f17,-3
a1edc83a_ef427e72,-2
9cc34d4b_c8647fe5,-1
51a48fb_a3a50caf,-1
7d3ea0b0_fd3600a1,-1
f46c3323_43363b22,3
7e6c4790_4a486152,-3
7571865c_8d157781,-3
1adad7eb_80ee595e,2
e2c65d42_424801cb,-2
a406bb5a_a1fc1deb,2
d7acb2d7_c824a896,-2
b7c678c3_bc9c8463,-2
4805c5ba_c6f069ff,-2
f2ef6b29_d11265d4,-2
470d7530_42d6729f,-2
3e7a6ce5_2ca91616,2
70c55b2b_5e227625,-2
fc300f30_9898900d,-2
73557643_3d4d5114,2
9b1ecaa9_6f20e2de,-2
bc8e6871_bfd9305b,1
b471fcea_68256668,2
bc67ea34_e2bf5bdf,-2
42123254_9cd3e54b,1
5f36d321_d558691,-2
716c328f_c0102649,-3
6e8447a4_db850449,2
91e501d2_69b36bbe,-3
e13182f7_18c0d9b,-2
58a14076_3e13209c,-2
68da8dae_eeda06a8,-1
e979f135_f4f3aa0e,-2
a074ff3c_c8be2f20,-2
29e3ed08_66de7ee9,-1
f9e3d325_e2339f44,2
dae3a1c5_45508061,-2
edef6f22_9580b830,2
746005c1_afa6cf7,-2
852bdb27_7c6b3eb1,2
381b3ac2_e18d6033,2
eee5dfae_262cf07a,-1
350b2065_99e3747c,-2
fedc89cf_f6f17539,3
a756783b_c02a8711,-2
c1033276_b478c290,-1
ce6b8114_e6492ac7,-2
c9e2f7f1_3a0c801d,-2
18603184_9ab390aa,2
d4ad8914_eef3baa0,-3
19cfb64d_2e8ad52f,2
8d8bb078_cacdfee6,-2
15670bc3_62ad2ba1,3
f724db04_9f44a669,-2
867b0a79_2a5cf3db,-2
21aedee7_9068bb32,-2
8097834a_de7f5df1,1
b95616b6_cb532ae5,-1
6d8b1fe4_2bb0c979,-2
8390d9e0_6d06d891,-2
1c57caa1_c0c4104b,2
b4f8cc54_ddd200a5,2
62d67f60_f1777749,-2
1a95cb5_8ea2ea1f,-2
5b28ecba_cd96ca30,2
7c89af9d_291f4bba,2
b043fd03_67e85cff,3
601885db_4a9ccc31,2
c9f3d77a_e2d6c725,-3
687ac3da_b72aa429,-2
5b1dc9f5_651ee12f,-2
1564a474_f936d4c6,-2
68c58ed9_2ca135cd,2
7f8ce98f_391c68e5,-2
5ad5bf02_68d0ba4b,-2
83569979_6e3eedcc,4
3a5d8d9b_1efd9e69,-2
9cf0c897_c7c59ace,2
433603b7_b05487c9,-2
25bb0b5a_2a95f870,-3
e4f7319d_c82b0c40,3
d64ee5f9_1ecad219,-2
1946d1d3_49ccfba6,-2
e1dc5b0a_d7460570,-2
8ab41d6e_dd092c3c,2
edd3bd14_3c8c37e6,-3
57870d34_e16686ca,-3
d0a66d2a_34fda1d,-3
112fd690_b216daa3,2
f0da1a95_2fb99c56,-3
825a5c05_f67f6847,-2
19f1fc75_a3df0ed1,2
b996f101_9c15ac38,2
8ade6740_6900854b,-2
70e5fa81_dae0e2f,2
9d51798e_852ce32d,-2
9d4620a3_421307b4,3
89ea2523_4d6eeb10,-3
8875cac_3871a3fa,2
cba7cbbb_796b3ff6,-3
8a4eb5c2_aea002,-3
8a308227_499d8a30,-2
11d46322_2c18b95d,2
18ecf508_4ebf64bf,2
7e4940e8_aeb1a832,1
cfc6d86_b5570080,-4
7295669_c50f4599,-2
ec4cde55_1e553ce8,-2
f1b0ad49_506dff3e,2
79ba0979_15d44dc7,-1
a7eea60d_66a4fb82,2
6854d3f_ffe30ecd,-2
59a7675f_fed55038,3
8443a928_313b808e,-2
45edb1df_ebc30f1,3
705009ed_cf383ebb,-2
6eb794f5_184f4d09,-2
e64780f9_8a183fdb,-3
249b61a_6b8d562d,-2
a95d21fc_36bdff3a,-1
e4d24f03_41f9e68c,3
8218e8e_ed12c3ea,-2
7b9b422b_bf55f1eb,-2
91f88269_97413796,-2
53841972_223a21dd,-2
2e26cc03_b81ae7dd,-1
b6a6d051_20792743,1
a6d107ce_45a49cf1,-1
7d94dd7b_4603a4f3,-2
c529c293_487f2bbd,-2
325148c3_94aec663,-2
68cc3bfb_a9c48208,-1
1c8600e3_1c7177e6,-4
5c8b001f_4b04da84,2
3b94d2d0_132be06e,-1
9151c47_add52add,2
14f907d5_870a692a,2
b85c5442_de68085b,-2
c998d834_1c9ff127,2
31045d92_3626941,-2
7ef114d4_913a73b5,3
ef6f11d5_5504ecb1,1
47c02d3b_4595b8fd,-1
e265d2e2_f35df7f3,-1
248ffccf_7bce26e8,3
75508a2e_489a4e66,-2
9fcff0bc_e61cac07,-2
4233be48_d83004cc,-2
8762bba2_d0457803,-2
c2f57f16_10ab982c,2
f9741949_cee323b1,-2
15316bc3_ef20e0a3,-2
273b0af1_83b8660c,4
21a899a_27ae6926,-1
23249c0f_6098da3f,-1
18821ac5_bba9b78d,-2
65dd6a70_10eea814,3
b371e75b_a30d8078,-2
ca95a094_92996e5d,1
3660dca9_76de4216,3
fcedbf08_fb27cba5,-2
6c4e4047_afe4cf71,-2
21cf5865_9d9ce6ba,-2
a499cb2b_60e02fad,-1
3edaf519_dc0bbf8d,-1
6f429cea_79ca8529,-1
2201f246_cb084e46,2
e7a67011_59a0fa0d,-2
3c11780a_352f3c6b,2
a265c377_bda40dff,-2
ede8897a_c5fe351,1
d4c00311_7bb7d30b,2
20caf4a_6048d77f,-1
38471523_fe405283,4
7df5d28f_7c36b736,-2
4d9346d8_4f090633,1
a7985196_cd7c38b0,-2
761d34cb_abc887e,-2
d41fa911_a8d355fe,2
c61ba298_366ec2c9,-3
7821441a_cc133443,-2
89954ee0_5e3dad97,1
e4c0626c_a644db9e,2
552cb83e_60809127,-2
2bb0f751_abd5f1ed,-2
9d13cf2d_3f2f216a,1
152c16eb_9bd8764b,-1
847e72d2_8c536fa0,-2
4ed42ead_334bd0fc,1
75c50583_9fd5da61,-2
70716b9d_1d3ff3b,-2
dc4457b9_e7ae45ac,3
2f878b2c_55a1556d,-3
f18e8e31_eab71667,-2
166544be_44e37a50,-2
43cb3b77_aeebf8a8,-2
bab1228e_6929f575,2
4b59af6c_a8db785e,2
a69e7726_4746e820,-2
e3b1fb96_2439ac7f,2
d55f2dfe_fed8b035,-3
4267d023_55caed82,1
a96e5f70_85666c52,-3
914faf12_2f55069e,-1
ffc573eb_95faabab,-2
bb85b041_42e6ab3f,3
e4eeddbc_8bc5a3a,-2
df056894_7a82ad8f,-2
3c389e28_ba0b8807,-2
35e262e1_e04dabf,-3
d0047674_391f842c,-2
ee9b3d75_39a93b7d,-2
5d59cf73_234cb8c1,4
5def3d5a_8728787f,3
822b39fb_60b75a78,-3
6b4d8135_d835aaa6,-2
17ce646_af3b27d9,-2
1aacb8d8_669e12db,-2
242eb8fb_2fd938ff,-2
2dc4bb03_66334770,-1
5c3720ea_230596c1,2
e6909cf0_2be8f32f,3
c4182b19_713147fb,1
a762c42d_1e7464ae,-2
ff6310de_a01e3d98,-2
2ce1f07_cdd4f17e,2
e41e9da8_7ad24cd8,2
19568a6d_ef2fa1f5,-2
6f0ac3ce_576d36fb,-1
ca060c8d_16747af9,-2
fbeead75_391165e2,-2
9192a25f_a6483832,-2
536e3e01_237de327,-2
902806d6_8a94be1e,-2
7c468d6d_b72e1442,-3
d7f8df34_56eaed41,2
d5f9069c_905255c5,-1
6f521f11_b1f924f2,2
935e4be4_5454cb87,-2
46e89ab7_d134c283,-2
bf02a962_38472d2a,1
a8825f40_3f6e5a92,-2
d352f3f9_b19f4dcd,-2
29a147db_6bd23fa6,-2
6fe81780_1e8877f3,1
85faf74b_ad9ffecf,-1
bc690a9e_d009bb13,-2
8f4c2889_5b27284e,-2
361846a0_89d7d471,-2
3c13574e_d7df96a4,2
2d0b272c_d52dda65,-1
905dd56f_e16b0eda,3
ac8f66e1_af29ebcd,-2
bb6b6fef_9cfdcf0,-2
6b7d98c5_22c648a0,-3
ceb30230_1231a1fc,2
d8a05627_43f659a5,-1
e3c60e46_7459deae,3
be731069_bf767ea3,-3
e5a86e54_6acc1ccf,-1
6b173066_9708f8f2,-2
38ee9a67_38e673a6,2
2ea9f36d_a5808bf0,-2
dd0fa368_24a49c2e,2
fbff46d9_b0741550,-2
f0b4804f_2d859df8,2
37aa5f7f_c62fd1e8,1
3a3714fe_9e85caee,-2
97e625e8_2b4cb343,2
366403c2_a2d6f417,-2
4ef00044_557c7c45,2
ac6340b3_be7cf36,1
953e0693_78631912,-2
a409b176_7b0dd2e4,-2
ca82639b_5ef8b4b5,2
412e2f32_f7f618c3,-2
af79bad9_a530e491,2
a02e9e6f_4c770186,-2
b34d392d_4ee26045,2
761df64e_1bc03140,1
ff73cd11_4dc7bdab,2
4665f2f5_786d5633,2
5148a16a_5c827121,-3
589198d8_8c5f5469,1
c8dd2d02_a9ab9b5a,3
39cdef64_3a97a17,-2
e8308da3_8c73d732,-2
dd00b66e_a6c248d2,-2
5fac6ac7_1a886937,2
b6d98959_d18a4c52,-2
f01d87b1_648512e3,-2
4afe9465_be8dfa7a,2
5ad22641_2d2b8aa,-2
6eb8038a_d7df65f7,3
3d54f335_c9d0e769,2
71b351d6_14f10db6,-2
31f3599a_b0edcf63,-1
55edf61b_518709b1,-2
b71242b4_4764680c,-2
d9342e24_911e3dd9,-3
9e4b0562_ff29bf7a,-2
92dae8f6_719290cc,-2
d42f67e3_8cf01940,-3
54f9629a_f89e7910,1
141daa7f_38b91712,2
bdd6f105_178c48df,-2
8843dd01_61fb9f0d,-2
9642deca_42996d21,-3
de65cae3_ebbd6f37,2
58129dad_ae5a9aa1,1
f0d3be7c_60acd1e3,-2
cb106bbb_15e39af1,2
69673dea_21a7b6b8,-3
f77c2915_f8509483,-1
2f5c1e73_5dcc5c6,-2
450152ba_5a41fc68,-2
d7d174c9_a57c736,2
bf741700_7d0b0e81,-2
6e9564c6_5d34811b,-3
caa12de0_a234df25,2
756cf40c_1ec81372,-1
ad0d764f_9c7f8847,3
99a51827_ae12308e,-2
febd9796_8b893325,2
8d861cda_5fe3ecb8,-2
857ac4f0_3a785bf0,-2
b3f834fe_cd3e9607,-3
c2ae8950_a4e8efab,3
673bd66f_89e7b53f,2
6ad321a4_1f951fd4,3
86168dfb_25094f85,1
b0f094fd_f6562dc3,-2
ba0f6006_5551ee80,2
409be430_768aea8c,1
755ea186_7d3d112e,1
f8b2d16c_7628f3d9,-2
91c7d9cd_3ba611a,-2
ca46db63_4ce480,2
e265ecfe_c1d1b68e,-2
dd9b1feb_2658a86,2
c634d86c_5cfc0de,-3
a8c5b0c3_fb0c523b,-2
6f00dfb2_3a5fbf10,2
7a2542f0_7308f58,2
93c780f2_c48944bf,2
ee291d48_6428c7b6,-2
9efb839f_b8aed31e,-2
7eed166_8a617694,3
a557dcf8_6dc2b503,3
ceed9578_160da1c3,-1
4b3ff2d0_3face84c,-3
32b22313_127be1ad,2
5a8aaca6_5d33ac60,-1
f613a8e6_846b8f83,-2
272df67c_9297b2b1,3
3e2ae3d0_f3d7ff37,-1
43dd03e0_7954dec0,-4
92cc7c4e_e59a2b3a,-3
55d572b2_ccc8efca,-2
c6d6e96c_e787a03,-2
b320ed34_8247e29,2
ccb1e780_997e8e5d,-2
f3dcd936_e7355d32,-3
da582e84_95b8ae8e,-2
f9d021cc_ea98d4ce,-2
786da5df_fd56a443,-2
e7ba44e2_c831e258,-2
c8b405ea_192c6ce0,1
89066de_67650f22,2
5ab4b615_f24a44ed,-2
bc7b3ef_5c386e0c,-2
ca53b1a6_77f746d6,-2
28dc9f4b_6fc6bab8,-1
694d36b5_a4804f20,-4
88de4440_6d3cb3b9,2
a834ac14_9c18db5f,-3
ed57a1d8_36f3ac13,-3
e14efaa8_3d693fa0,-2
fdf8ecc2_1d94b17c,-2
85d4251d_32822f6c,-2
991043fe_be2f5538,-2
c4098202_59ca60c0,-2
58de09cf_8eab16d9,-2
417b0cfa_391d3517,2
897e8f06_720c3fd5,-2
8f488044_f5469fe7,1
a7a4f34c_be27a595,-2
3dbf7a3b_91b887d3,-2
f136a999_ce9eaaca,-2
d86d5ce9_fc272483,-1
433bef44_c4a97ab8,-2
25e8b08e_9e212406,-1
8a0ee44d_24c31637,-1
238d4703_545f3d7c,-2
c01b8f2e_62ff56f5,-2
3945e4e_705859b2,2
893d1485_7e30a83e,2
565c8da4_f5e4e608,-2
59383ff_6451dca3,2
f197f170_82293351,-2
29bab105_84fa6af1,-2
58254f8e_e82dc959,-2
80537544_58333eef,-3
c8dddb62_b96a7c32,-2
3e1880e0_e8b0cbbb,-1
ca416170_a28f4890,-1
374cf009_34670561,2
f47030f4_f5077de8,-2
e34ee3cd_fa709c51,-2
c4482189_f603f518,-2
6f4f4448_bccd31a8,2
c3ec4bd2_e446277,-3
5b037b0_3c4bba83,2
a43df19f_12dc5e01,-2
63120810_cd345cbd,2
6c9a6b64_2f633d36,-3
5a921671_15dc8d95,2
441fedc9_acb5a30f,-2
ba850aa4_635b1b38,-2
37c95a39_aa0f0079,2
8020f99c_a201f0f6,2
88ed2da5_9979969d,-1
8b036eb0_55bf778f,2
18e0dd2f_69f383ae,3
f02e9617_32970165,-2
f8f3520a_b82c870e,3
76effdcf_a75d185e,-1
8eba60cc_aef7e817,2
f19ccaa_dc6b0bd4,2
94822e69_293e41c7,-2
1d02084b_6e040d78,-2
d5311670_6556dc9f,2
1d64c118_b7188846,2
90d6428_f21b80eb,4
f1506564_b9246857,-2
beed83c9_99863551,3
fe38f844_82ebad3a,1
21fc5e24_72210188,-2
fd3943f8_688f2aab,-2
4ed17253_73985cda,2
b2021d5b_a560ff3e,-2
f6d446e2_577cf55c,-1
efb6384e_ca0ad266,3
d79572d9_b08b665a,2
3de6d8a0_74036ad3,-1
339b8be1_48331e7b,-3
8898dae3_de9a27f2,2
326fced_b2cbc85,2
8260e1c3_f518feae,-2
bce5652a_ff34e5c1,-2
